,body,label
22,"This is not value for money product because this product have 1k gst which is make hiked priceMi Apps which is un-necessary apps which is take space in storage and you can also deleted system apps and mi app through adb fastboot tools.Back design is very good n beautiful and also have texture liked finish since they r polycarbonate body which is doesn't upset me.Aspect Ratio Of Display is bad in redmi A's Series.Need Improvement.Processor is best for browsering , social networkingThis processor (G25) can be Pubg lite But after 15 mins played they started heating.Battery capacity is awesome ♥️ no need to say. brightness level is good and it also handle with sun. Recommendation for online studying or nornal uses",1
23,Screen is big and crisp battery backup is great. You can find lag here and there but manageable don't expect gaming in this phone. Camera is below average. All together phone feels premium in look with below average performance. If tou are planning to buy in this budget no phone will beat this phone.,0
24,"Points to be noted:👉 The sound output of this phone is quite low as compared to other Redmi phones.👉 This phone is much longer than other Redmi phones which can make it difficult to carry.👉 Xiaomi previously provided IR blaster on its budget phones. It is now extinct in their budget phones.👉 Xiaomi started giving ""Type-C"" port by upgrading its budget phones from Micro USB port, but after buying this phone I feel that now they have shifted to ""Micro USB"" port again.👉 After purchasing this phone, I have understood very well that Xiaomi has cut prices in this phone.",0
25,"Best phone @6800 Rs.Suitable for Parents and kids for online study.Has no standard features like fingerprint scanner, dual camera, IR blaster, type C charging port, no back cover.But at this price in COVID situation, it's the best. Display is huge(20:9).Camera is above par.Performance is good.Overall best package.5/5 for Rs.6800.",1
26,"Bought 3gb 32gb sea blue variant.Very nice and smooth looking phone.Runs smoothly without any hiccups.The blue color is so amazing.Doesn't heat with prolonged use.Amazing battery, drains slowly and charges quickly.Display is very good.Quick delivery.Overall a must buy.",0
27,Good battery. But phone hangs a.lot. need to restart multiple times,1
28,Do not go for it...First mobile from Redmi who have lots of issue...I boot my phone and it hang... Touch not working properly...screen is largeSlow working.....,0
29,Weary good product  very fast delivery,1
30,Phone is good. But it is made in China,1
31,It's a beast in its segment. I was little worried about G25 but it handles daily tasks well. Take the 3GB variant as 2gb may feel sluggish. It's not built for gaming. Si gamers stay away. Peace!,0
32,"Good mobile,in this corona times if we want quality product for basic regular usage,this Redmi 9a 3 gb /32 bestCamera is average like all entry-level mobiles,Redmi might send an update for small big fixes like every new mobile launch,gcam till now not available,with that quality of camera increasesDesign display very good,slim tall mobileBattery very good,takes 2.5 hours for full charge,so better charge when 40 % battery left.People who are planning to buy 4 gb /64 gb Redmi 9a,don't take it ,best to go for Redmi 9 as we get finger print scanner, slightly better speed,camera and build quality for just 700rs moreSpeed of Redmi 9a is good for 3- 4 appsCons:No gorilla glass protectionNo Secondary noise cancelling mic,this is big mistake by redmi as they give in every mobileNo Finger print scannerFinally under 10,000 rs all Redmi 9 series mobiles are very best as they provide 4 gb ram variant in very price segment,only option we have",1
33,"Nice phone, looks pretty.good backup of battery Thanks Amazon",1
34,Loved it but it is a bit heavy because of the battery and the run time is absolutely the best suits for my work camera is okay but hey I didn't expect the camera to be a dslr so no complaints there anybody who really want a budget phone just go for it,1
35,"This phone is only good for parents who are using whatsapp, facebook, youtube, calling, etc...*Camera is average. You get average photos on day time.*Ram management is very bad. You can only run upto 2apps simultaneously 😔*go for only 3gb ram variant.*miui is good but some glitch some time.*do not expect huge gaming(maximum temple run level games)*in the lock scrern glance for mi is irritating.*battery is the plus point. For parents it last upto 1 weak. (Minimum use)*display is good.*front cam is also good. Good clariry while video calling.*no fast charging.*single speaker performs well.My personal suggession I bought it for me first but its not suitable me so i gave it to my father 😂he is very happy with it😊",0
36,"I got a brand new redmi 9A with too much bad experience. From unboxing its not work properly. Even camera graphics and result very very worst. Also return option not available. You can replace only. So, please don't buy this worst product. Even for first time im facing that amazon support also not supporting in this issue. I've told amazon to return this but they suggest n replied for only replacement.  Very very bad experience for first time in amazon.",-1
37,"Purchased the 3gb variant of redmi 9a. Following is the review based on 1day of usageProsDisplay and battery backupOuter designLatest Android 10 based miui 12Back cover looks sturdy (less chances of falling off your hand)ConsPolycarbonate back cover vibrates when phone is on full volumeNo fast charging, takes 2 hr 45 minutes to fully chargeNo notification light (a big bummer)No Gorilla glass protectionNo fingerprint sensor however face unlock works fineVerdictA decent entry level phone however no need to exchange if u r using redmi 8a. If you can squeeze in a few more bucks, then there are many good phone for 9k.",0
38,Wow,0
39,"So here is my honest review on this gadget. I hope you will find it helpful.:)Firstly, Redmi did a great job by introducing cheapest phones with trying to incorporate the features of mid range phones.  5⭐ for thatPros-•Low price, wont get any other phones in this range• Sleek design, handy phone which will easily fit in your hands and gives you a comfortable feel.•Good for basic usage.•Nice processing speed with sufficient storage for a basic use phoneCons:•camera is not so good dont expect your pictures to be like other phones of 12-15k range. Its an OKAY camera. I feel Could have done better for camera :)•Dont support fast charging. Today almost everyone wants fast charging phones as it is the new need for users now.Overall conclusion:  Go for it  if you are looking for basic use⭐",1
40,A little bit slow..I think it will more lagged afterwards..Big screen.Camera is not good.. As well as selfie..Ph is For normal users..,0
41,During visit Amazon's site mobile manufacturer details  Made in India but product received made in china!!!!!!!I purchased two mobile same model different date.First product made in IndiaSecond product made in china,0
42,"Value for money .PROs-ULTRA BATTERY SAVING MODE10X ZOOMSPECIALISED SCREEN FOR READING MODEVERY BIG SCREENMIUI 12ANDROID 102GHZ PROCESSOR20 GB SPACE FREE5000mah BATTERYPRO MODE IN CAMERAVOICE OVER WIFISPLASH PROOF .CONS-ONLY NORMAL 10W CHARGER ,MICRO USB , NO TYPE C CHARGER,NO SUPPORT FOR FAST CHARGING,NO GORILLA GLASS,DUE TO PROCESSOR , PHONE FEELS A LITTLE SLOW ( IT IS NOTICEABLE TO ME BECAUSE I USE HIGH END PHONE 😝😁),THANKYOU.(genuine review guys 😎).",0
43,Worst camera ever...both front & back... & Screen resolution is not good.,-1
44,"The media could not be loaded.
                



 I am tottally disliking this product there no quality camera and there no stability...the mobile suddenly hang,and network issue in this mobile and in service center there are so many people holding this mobile and speking about variety variety issues about this mobile... This is totally duma$$ product see that above video and look that u will understand the quality of the product this is such a ridiculous moment in my whole life...  I have ordered so many things but this type of thing i ever seen... Low class service cheap product This product fully duma$$ dont buy thiss type of any product on onlne...these ba$terds giving us fully lowclass product... My whole money gone and wasted... In this mobile there is a network problem the voice are inclear and there is no incoming and outgoing through this mobile so my humble request is dont buy thiss product.in mi service center varity variety issues so dont buy this mobile....",0
45,Not satisfied. No camera perfection. No finger sensor. Perfect China piece. Cheap and worst. Started hanging.,0
46,"Good entry level phonePros: Big screen, MIUI12, Good batterly last for more than a day with average use,good cameraCons: single rear camera, no Corning glass screen,No radio, plastic back, 10w charger in box- takes long time to charge",0
47,Best phone you can get at this segment totally worth the amount you are paying,1
48,Just Wow....!!!,0
49,Very nice product thanks 😊,1
50,Do not buy this phone Pretty slow the battery is not powerful Battery is equivalent to 3000 mah battery of other micromax phones.No screenguard/Headphone and case provided The speaker is inferior quality .Lots of eco sound.The processor is pretty slow.The video quality is also not up to mark,0
51,It's.  Cheating screen size 6.53 but too much narro . You can use only about 5 inch . And company has not write Anny pllace about screenn width size.6.53 is cover is in. Lenth ..So polease do not buy if. You want a big sacree mobile,0
52,Mobile is best under 8000 3gb / 32 gb varient because its work very smoothly ignore negative review and please one humble request to seller stop selling made in china tag mobile i also receive made in China but phone is available in made in india branding overall phone is good one more problem screen is too much big,1
53,Lovely low budget mobile love u redmi nice look mobile,1
54,"I want to share a live (semi-positive) experience with Amazon a week back. I purchased a Redmi 9A phone for my grandson on 21 Dec. The phone came on 24th, but wouldn't boot. I spoke to Cust Service, and they quickly arranged a replacement, but the delivery boy wouldn't give the new one because he couldn't get the IEMI# from inside the phone (which couldn't be booted in the first place). Another call to service, and somehow it got resolved and we got the replacement. And lo! - that too wouldn't boot🥵Another round with service asking them for refund, but the delivery boy refused to pickup the replacement because #IEMI didn't match (AGAIN 😢😢).Finally - probably after divine intervention-I was connected to a sympathetic service person who realised what was all this hullabaloo with IEMI#. Then the (second) bad phone was picked up on 1st Jan, and the money was refunded almost instantly. My daughter went to a real shop and purchased a Samsung M01 for her son the same day❗Moral of the story: When you are buying things you don't know anything about, buy from a KNOWN, LOCAL supplier 🙏",0
55,"Writing this review after 3.5 months usage : There is no fingerprint reader in it . Battery life is too good , if u charge it to 100℅ , after attending the continuous class for 6 hrs , still the battery will be 70-80% . Camera quality is average not too good . U can use extra app with filter for good results . M a student , I purchased it for my online classes as I can't afford a more expensive phn with my pocket money . So purchased this phn . U can install 1 or 2 games , it will not affect phn performance . M not much games addicted , so can't comment abt its performance in gaming much . Must to go if u r a student .",0
56,"DescriptionRedmi 9A comes with Octa-core Helio G25 processor and upto 2.0GHz clock speed. It also comes with 13 MP AI Rear camera along with 5 MP front camera. Redmi 9A also features 16.58 centimeters (6.53-inch) HD + display with 720x1600 pixels. It also comes with 5000 mAH large battery.Features & details13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratioMemory, Storage & SIM: 3GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slotAndroid v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor5000mAH lithium-polymer large battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, sim eject tool, warranty card and user guideProduct informationOS AndroidRAM 3 GBProduct Dimensions 16.5 x 0.9 x 7.7 cm; 194 GramsBatteries 1 Lithium Polymer batteries required. (included)Item model number Redmi 9A (3GB+32GB)Wireless communication technologies Bluetooth, WiFi HotspotConnectivity technologies 802.11 a/b/g/n wifi, Bluetooth v5.0 wireless technology, USB 2.0, GPS, GLONASS, BeiDouSpecial features Dual SIM, E-mail, Accelerometer, GPS, Ambient Light sensor, Video Player, Music Player, Proximity sensorDisplay technology HD+ multi-touch capacitive touchscreenOther display features WirelessDevice interface - primary TouchscreenOther camera features 5Form factor Touchscreen PhoneWeight 194 GramsColour Midnight BlackBattery Power Rating 5000Whats in the box Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card and User GuideManufacturer RedmiASIN B08697KLZP",0
57,"Amazon is now becomes a cheater, there is no way to return the item..it has below shortcomings..Poor Camera quality, though it has feature for Portrait and Landscape but in landscape mode the clicked pictures are blurred...Poor battery performance, the 5000mAh battery is so poor that it significantly heats up entire phone within  2-5 minutes and drains the battery. Weight is also quite more.I tried to return the item, it says have a test with some software or talk to technical team (after uploading no. of things, very tedious), there are many sites in which you can have hassle free return...You will get frustrated and defiantly could not be able to return the item..there is no way to interact on email and call..so select the items very very carefully..otherwise they are sitting there to cheat your hard earned money...be careful..",0
58,9A  <  8Adisplay low bright.  .good in 8aBuilt quality low.  .good finish qualitySound is low.  .sound is good10w normal pin.  .18w speed charg720p in youtube.  480p in youtubeGlass is normal.  .g5 glass,0
59,Pros-A big batteryBig screenGood lookNice processorValue for moneyCons-Poor camera quality both front and backDoesnt charge fastNo finger print sensor,0
60,"I ordered the phone during amazon 1-month deepawali sale, when it was selling for Rs 6,800. I exchanged my old Redmi phone and got further Rs 3,600 off. Plus I made the purchase using HDFC Bank credit card and got 10% cashback. Net net, i got the phone for Rs 3,150.But buying the phone at a cheap price wasn't the highlight. Its performance has not disappointed me.The features have upgraded and the Redmi-9A offers more bang for the buck. Features are intuitive and easy to use. My contact list was restored in no time.The 13MP camera is really good and, in my opinion, as good as an iPhone. I am exploring the phone's features and it has been a pleasant experience for me.If you are looking to upgrade your phone then PLEASE DON'T LOOK FURTHER!Rajagopalan VBengaluru",1
61,"Bought this for home use basically for my mother who’s is a homemaker.1. Battery life could serve you for 2 days easily. If you want to charge it again within the same day once fully charged, you must use very heavy apps & games for about 7-8hrs. Otherwise it’s ready with the battery you need for 2 days.2. Ease of use in the UI is just spectacular. Kudos to Xiaomi for working inside! Comparable to iOS software in terms of ease of use.Final words: didn’t think android would come a long way in ease of use aspect of their smartphones. Got what expected from an android device even though I’m an iPhone user since last 5 years. What couldn’t be easily done on the iPhone is easy & efficient in this Redmi 9A.Addition: purchased this smartphone aster using its predecessor 8A for about 1.5 years.",0
62,"Why do you advertise this phone as DESH KA SMARTPHONE. Did you know, What is the meaning of DESH?. I thought of buying a phone by made in India. But Amazon delivered to me a phone by made in China. Not just the phone, the charger and charging cable are made in China!. If we buy a smartphone at a discount, will you behave substandard manner?",0
63,Best product at low price,1
64,"Good Budget Phone for normal usesPros :- Big battery, big display, nice touch, processor speed good in this range.Cons :- Worst camera, no finger print lock, made in chinaFinal opinion if you want to buy for camera not suggest, otherwise okay okay performance for daily normal uses.Finally Disappointed with Xiomi Redmi Brand with this phone.",0
65,"Awesome phone I used from 2days no problem i found only charging is slow plz update to fast charge,⭐⭐⭐⭐ battery backup is super, ⭐⭐⭐⭐⭐Big display ⭐⭐⭐⭐⭐Camera is good ⭐⭐⭐⭐⭐thq Amazon forfast delivery,⭐⭐⭐⭐⭐Thq redmi for giving budget phone. 🥰😍🤩",1
66,"I am never going to buy any electronic product from amazon anymore. Experienced worst customer service. Product is not upto the mark. Over heating, network connectivity issue was there. They were using their aaps to dignose in which everything will be showing normal. The same aap can not be used in any other phones for checking. That means this aap is specifically designed by amazone for amazon bought mobiles. You will never know if this is correct or not. Based upon that refund/ replancement will not be done. Amozon update your customer service otherwise if customers make you customers can also break you. After 2 days of continuos chasing no result. Wasted Rs 7498/-.",0
67,"Mobile looks good and it's worth the price. Cheap and best of its price range. Camera quality is very bad, but in this price we can't expect much. I suggest for basic usage.. one can prefer this product . Like for online classes and other academic purposes.",0
68,"With Airtel Sim, neither VoLte and VoWifi are working in my phone. Airtel Thanks app is showing your handset is 4G but not VoLte compatible. Same thing in Vodafone. Is anyone else having this issue? Asked for replacement. Let's see what amazon do with this issue!Update: After my complaint, Amazon replaced my phone with a brand new piece. But the same issue happened with it also. So again I complained and I am so thankful to Amazon that they took my phone back and told me that they will refund my money. Phone was taken back, just waiting for my refund now.If you have a Jio sim, just go for it. It is an awesome phone but If you are Airtel or Vi customer then there will be some issue with VoLte and VoWifi.",0
69,"There is no notification light or charging light. I forgot this point when researching this phone before buying. Lack of notification light is my biggest disappointment. I tried notification light apps like NotifyBuddy, AOE, AOD. One of these worked once or twice and then stopped showing notification light. Now I don't get notification light when I receive whatsapp message, which is very important for me.So, if you want a phone with native notification light support, then don't buy this phone.If notification and charging light is not important for you and you are a casual user like me whose main use of smartphone is YouTube, whatsapp, and camera, then you can buy it.I am a basic user and don't play games. My need is simple. 3gb/32 gb, good camera, standard fast charging of 10 watt charging support, and battery capacity of 4000-5000 mah, fingerprint feature not necessary.It is not stock Android, which I prefer.",0
70,"I was using iPhone 6s Plus and when I got this phone for Rs. 7,500, I was surprised ! It have more display clarity and camera clarity than my iPhone. Also it is as fast as my iPhone. Mi have combined All features of ios and Android in this Phone, that make this phone special compared to other Android Phones. Its OS is Mi modified version of Android. The modified version is very intelligent and smart. It have removed all the disadvantages of Android Phones. It have iPhone features like Face unlock, time lapse video, burst mode and exposure increase and decrese in camera etc.Sound clarity also superb.My Brother in the US have amazed to see the better clarity of video calling than my previos iPhone.",1
71,"Good, Purchased for my dad.",1
72,"With in 1st hour of operation, Phone hanged 3 times and then become dead. Instead of accepting return, Amazon schedules a tecnician visit.Why one would accept defective piece as new , eventhough may be repairable?Update: Even on scheduled visit, tecnician is not aware that he has to make a visit. Instead of taking back phone, they reschedule visit after 2 more day. Total unprofessionalism on part of Amazon.Second update: We had scheduled homeservice visit today, but the tecnician has not come and made a fake report that service has been done.",0
73,"Phone is good and battery backup is very nice,working long time. But one thing i faced that i bought on first sale i found one problem that video recording audio not good very low hearing then i returned that one and get change  with new. After getting new one i found that problem is same and that not problem its phone problem. Phone video recording audio is very low compare to others phone. I can't hear clear voice in even low distance recording.",0
74,"The listing states SEA BLUE color.... Well its DARK DARK BLUE (Indigo/Purple type); so very disappointed there..otherwise Phone is overall good...4 Stars for Phone specs,2 Stars for wrong Color mention,So Overall 3 Starts Avreage!!",0
75,"Very poor camera Or long time, charging battery I am not satisfied from mi 9a comparison 8a is  a good product so it is a downgrade product",0
76,Plz guy don't buy this phone.... This is made in Chaina product ... It have poor camera Quality poor Sound Quality and poor Build Quality...,0
77,"The bad news was that I received a defective piece (what I feared the most because many customers posted review about defect). The good news was that my refund was processed on the same day as I filed the complaint with picture proof as attached here as well and I received the refund amount within 3 days.Plus, there were these black parallel horizontal lines on the screen, which I just couldn't understand why it was there. The phone looked pretty good (colour and built wise). Maybe would have been a nice one if I hadn't received a defective product.",0
78,"Ordered Redmi 9A 3GB 32GB version, sky blue for my mother 2 days ago. Delivery was quick. The delivery guy also opened the package on request for assurance. Got the product as ordered.Initial impressions:Pros:Large screen, Nice color, good processor, ample RAM for daily normal user, good battery backup, drains very gradually even if you are on calls whole day. Removable stock apps, so no need to bother about forced updates for them. Back cover gives you a grip so it won't slip. Display is overall good.Cons:The phone weight is on the heavy side, due to large battery.Camera is not good in low light conditions. (Very good in daylight or external use.)One of the best phones available in the market at this price. I have given it 5 star for specifications in this price range. I ordered it with an offer.. More than what you can get from any other Indian brand in 7000 rs.",0
79,"I bought this phone in the sale for a ridiculously low price. Firstly if you are someone who uses a lot of apps then this phone is not for you. It is a basic android phone which can be used for photos, WhatsApp and a few others. For the price, one shouldn't expect more. If you load a lot of apps expect the phone to go slow.The build quality was surprisingly excellent and the call quality was also good. Watching videos was also good.Frankly, for this price, I cannot complain about anything.Excellent buy in my opinion.",1
80,"Overall mobile is good for an average usage. Its camera, audio quality is average to good. Its performance is very good because of good internal storage.Handy as well as the screen is quite wide and provides good viewing angle.Plus point is its battery which is quite huge. Has microusb slot and charger is of 10W thats why charging might be somewhat slow (not that fast)If you want the mobile for an average usage then this can be a best deal for you.I got this 2gb Ram 32gb Rom varient in 6800 Rs.Or if your usage is high i would recommend to go for some other Redmi products for price beyond 8000 to 9000.Below 7000 this product gives satisfactory performance.",1
81,"Product is below average. This is third Mi phone that I bought and all the three have had network (card) problems. Camera clarity is good but takes 10 sec to launch.. again, poor experience. Battery is good, but compared to other phones in this range, it take double the time to charge... hence the fast charging option too is not at par.Overall A very poor experience with Mi phones. I'll never buy Mi phone in future and WOULD NOT RECOMMEND ANYONE TO BUY THIS PHONE.",0
82,"This budget phone for bad,mom, and others famaliy members..fir gift. Tha phone has a big battery life.. very good for those people who what To travel",1
83,"Pros:1. Performance is Ok, for the price.2. 2 SIM + 1 Micro SD Card Slot, i.e. no hybrid slotsCons:1. Too many advertisements and installs 3rd party apps forcefully. This is not mentioned in the listing. This should be made mandatory. But thankfully practically almost everything can be uninstalled.2. Micro USB port for charging is unacceptable in 20213. Used a MIUI based phone long time ago, somehow I feel it has become much worse and confusing. Even changing your notification sound or ringtone takes some effort and a little bit of scratching your head. They should include a manual LOL.",0
84,One of the Cheapest Chinese product in this category again. It is mentioned as 5000 mah battery in the specification but actually it is not upto the mark. Actually I bought this phone for my father as it has a bigger battery. But it drains automatically within 2 days when there is no usage. But redmi 8A which I am using presently is much better product when compared to this product.I don't know whether XIOMI is prescribing wrong speciation or AMAZON is selling a dublicate product. But my suggestion is don't buy this product even when you have little usage.,0
85,Good product,1
86,"The media could not be loaded.
                



 This phone is pretty good at this price rangeRear camera is avarage selfy camera is batter than rearBattery life is 2 days in normal use without any gaming only fb, whatsapp, and watch youtube videosProcessor is pretty good with 2gd ram and 32gd internal memory but processor is not very fast some time its lagged.If you use in normal day this phone is very good option in this price range.But you purchase for heavy gaming and heavy work this phone is not a better option.After all redmi good work with this phone.",0
87,The camera provided in the phone is not  13mp at all.Picture quality is not good and it does not reflect the true colors.its ok that it is a cheap phone but atleast they should mention the correct configuration. If you compare camera picture quality with nokia phones I must say that 2mp camera in nokia made phones have better picture quality that 13mp of this phone. Its OK that this is vewry cheap phone but customer should not think that they will get a 13mp camera. Samsung or nokia make phones with 8mp camera might have better picture quality.rest i can write once i use this phone for a month.,1
88,If you're a low to average user -  the go for this model without any doubt.Nice colorAvg cameraNice Huge display for this price rangeGood battery backupMIUI 12 has added some additional advantages to this phoneBest for parents!,0
89,Issue started within 10 days of purchase of this product. My phone doesn't charge inspite keeping in charging for 2 hours.Amazon gave us 07 days replacement but the issue started on 10th day. Spoken to the team denied replacement of the product told us to go redmi service gallery for any issue. Now have to keep all my work aside and have to run behind the gallery people to get my phone repaired..Highly disappointed with the services from Amazon ..Worst Worst Product Don't buy people...,-1
90,"Some bad fact of Chinese mobile.1.It has useless function that slow the mobile.2.It is still struggling to give good camera compare to other mobile.3.It is annoying us when permission denied to send data to server.4. most of app get crashed like linkedin,chrome,Bing automatically after long period in use.5.preinstalled unwanted Chinese app.6.they show Chinese language first in their mint keyboard even in INDIA.7.they always shows the update notification even I block the notification.8.adaptive brightness and normal does not work properly.9.its touch does not work some times.10.this is not for common people becoz after uninstalling app it's still apper on screen.Please go through these reviews.I have depth experience of using mobile.",0
91,"Happy to buy this good mobile , but little bit specs missing but value for money",1
92,"A basic android smartphone for basic android experience. If you're looking for an entry level smartphone with android os then this is a phone for you. This model packs a 3gb ram and 32gb internal storage which is more than sufficient for your daily needs from Facebook to YouTube and anything in between. If you want a basic android experience or just want a phone for your daily driver this one is for you. Do note this ain't optimal for heavy duty gaming. Casual gaming yes, but not heavy duty gaming.",0
93,Very very slow processor,-1
94,"MANUFACTURED FAULTY & DEFECTIVE CONTACT SAVING MODE SPACEBAR CAPS NOT WORKING,PH IS LAGGING, CAN'T FIND SECOND SPACE (DUAL APPS) SETTING. ARRANGE NEW PH WITH ORIGINAL TEMPER GLASS AS WE SPENT 475 INR",0
95,"Amazing phone in such a low price.Great don't hesitate to buy if it doesn't have a fingerprint sensor because it has a very quick face recognition, don't hesitate to buy if it doesn't have dual Or tripple cameras because its single camera beats most of the dual and triple camera phones, don't hesitate to buy if it doesn't have a fingerprint sensor because it has a very quick and last thing don't think like its cheap so obviously it will have poor looks and downgraded, no in this phone this isn't the case. Overall I'll give full stars and attaching some samples which have been slightly edited with In built editor..",0
96,"When you consider its predecessor the 8A/8A Dual, this one is a major downgrade. A sluggish Helio chipset, Type B charging port, an unnecessarily tall screen, bad camera all combine to deliver a not so VFM product. I am saying this coz I have the 8A Dual as well... Not impressed. With every series, there are too many compromises which is very much unlike Redmi",0
97,"Really great quality,I was not expecting the quality like this at all, I am using Oneplus as my primary phone, the quality of this looked so good Im really considering MiRedmi for future.Feels more value for money than any I've seen. Build quality is amazing.Screen is big, build like a premium phone.Camera works okay, more than good enough for the price.Seriously, the phone has become much better for this price when I bought 9K similar phone from MI andit was no where near to this.I will highly recommend it to anyone who wants to buy it.",1
